name,temp,humidity,precip,precipcover,windgust,solarradiation,solarenergy,uvindex,O3,SO2
bangkok,28.0,83.9,0.854,4.17,36.0,88.3,7.6,4,7.0,22.541666666666668
bangkok,29.3,78.6,0.033,4.17,21.2,148.8,12.8,8,15.0,2.0
bangkok,28.5,81.9,13.845,16.67,25.354545454545452,151.0,13.0,6,5.0,4.857142857142857
bangkok,26.8,89.7,81.798,12.5,22.791999999999998,113.0,9.7,5,7.0,22.541666666666668
bangkok,27.5,87.0,5.617,25.0,24.8,157.2,13.5,8,3.0,2.25
bangkok,28.3,85.2,2.314,16.67,25.72083333333333,234.6,20.2,9,9.0,3.342857142857143
bangkok,27.5,88.1,19.175,12.5,46.4,127.8,10.9,6,7.0,22.541666666666668
bangkok,26.9,89.2,75.474,16.67,23.0,134.0,11.5,6,7.0,22.541666666666668
bangkok,28.1,81.9,0.0,0.0,30.6,159.0,13.6,7,9.0,3.342857142857143
bangkok,27.7,86.1,48.949,16.67,28.085714285714282,105.7,9.0,6,6.0,12.0
bangkok,27.3,85.7,10.615,20.83,46.4,129.3,11.3,6,12.0,1.125
bangkok,27.3,81.3,47.142,16.67,31.0,137.7,12.0,5,10.0,1.9230769230769231
bangkok,28.7,73.0,10.777,4.17,33.5,171.2,14.7,8,14.0,1.25
bangkok,29.1,64.8,0.0,0.0,29.02777777777778,202.8,17.6,7,15.0,2.0
bangkok,28.9,64.0,0.0,0.0,19.4,177.0,15.3,7,9.0,1.0
bangkok,26.0,70.3,0.0,0.0,41.0,91.5,7.9,4,13.0,2.15625
bangkok,23.4,78.5,0.0,0.0,33.5,39.3,3.6,2,23.0,1.2692307692307692
bangkok,27.0,70.5,0.0,0.0,20.9,117.2,10.2,6,25.0,1.0
bangkok,27.9,60.1,0.0,0.0,26.3,189.7,16.5,7,28.0,1.0
bangkok,28.0,58.5,0.0,0.0,27.4,181.8,15.8,7,24.0,1.28
bangkok,28.0,63.9,0.0,0.0,31.7,170.3,14.7,7,15.0,2.0
bangkok,27.7,73.3,0.218,8.33,21.6,70.8,6.2,3,83.0,5.06753899265526
bangkok,28.8,76.5,2.637,8.33,22.791999999999998,142.3,12.3,8,25.0,1.434782608695652
